#          r            f            d         rho1         rho2         mass
 1.05801e-02  3.45314e-01  2.94229e+01  3.81834e+01  1.77068e+01  2.92321e-04
 1.10485e-02  3.59000e-01  2.90092e+01  3.78716e+01  1.74148e+01  3.30595e-04
 1.15377e-02  3.73082e-01  2.85657e+01  3.75413e+01  1.71044e+01  3.73694e-04
 1.20485e-02  3.87553e-01  2.80913e+01  3.71918e+01  1.67745e+01  4.22170e-04
 1.25820e-02  4.02404e-01  2.75850e+01  3.68222e+01  1.64260e+01  4.76680e-04
 1.31390e-02  4.17620e-01  2.70461e+01  3.64317e+01  1.60576e+01  5.37887e-04
 1.37207e-02  4.33187e-01  2.64740e+01  3.60196e+01  1.56699e+01  6.06576e-04
 1.43282e-02  4.49086e-01  2.58684e+01  3.55850e+01  1.52624e+01  6.83558e-04
 1.49626e-02  4.65294e-01  2.52293e+01  3.51274e+01  1.48355e+01  7.69741e-04
 1.56250e-02  4.81784e-01  2.45570e+01  3.46462e+01  1.43898e+01  8.66128e-04
 1.63168e-02  4.98528e-01  2.38523e+01  3.41409e+01  1.39260e+01  9.73785e-04
 1.70392e-02  5.15494e-01  2.31163e+01  3.36112e+01  1.34449e+01  1.09388e-03
 1.77936e-02  5.32643e-01  2.23505e+01  3.30569e+01  1.29479e+01  1.22767e-03
 1.85814e-02  5.49938e-01  2.15570e+01  3.24779e+01  1.24365e+01  1.37654e-03
 1.94040e-02  5.67334e-01  2.07383e+01  3.18743e+01  1.19125e+01  1.54192e-03
 2.02631e-02  5.84788e-01  1.98972e+01  3.12465e+01  1.13777e+01  1.72538e-03
 2.11602e-02  6.02251e-01  1.90371e+01  3.05949e+01  1.08347e+01  1.92860e-03
 2.20971e-02  6.19674e-01  1.81619e+01  2.99202e+01  1.02858e+01  2.15338e-03
 2.30754e-02  6.37006e-01  1.72755e+01  2.92235e+01  9.73367e+00  2.40159e-03
 2.40970e-02  6.54196e-01  1.63825e+01  2.85058e+01  9.18117e+00  2.67525e-03
